Sentence#;word;label
35;Santa;LOC
35;Ifigenia.;LOC
36;I'll;O
36;pack;O
36;for;O
36;us;O
36;and;O
36;meet;O
36;you;O
36;at;O
36;Station;LOC
36;East.;LOC
37;I'll;O
37;meet;O
37;you;O
37;at;O
37;the;LOC
37;corner;LOC
37;of;LOC
37;Pearl;LOC
37;and;LOC
37;Pine.;LOC
38;I'll;O
38;meet;O
38;u;O
38;at;O
38;the;LOC
38;bus;LOC
38;station;LOC
38;on;LOC
38;Glebe;LOC
38;at;O
38;2:00;TIME
38;p.m.;TIME
39;The;O
39;best;O
39;thing;O
39;is,;O
39;if;O
39;you;O
39;want;O
39;to;O
39;be;O
39;a;O
39;tourist,;O
39;grab;O
39;a;O
39;cab;O
39;now,;O
39;and;O
39;I'll;O
39;meet;O
39;you;O
39;at;O
39;the;LOC
39;railway;LOC
39;station.;LOC
40;I;O
40;would;O
40;like;O
40;to;O
40;invite;O
40;you;O
40;to;O
40;join;O
40;2;O
40;cultural;O
40;events;O
40;on;O
40;Sunday;TIME
40;13.мар;TIME
40;at;TIME
40;18:30;TIME
40;an;LOC
40;Arbat;LOC
40;street;LOC
40;walking;O
40;tour;O
40;-;O
40;historical;O
40;insight,;O
40;RSVP;O
40;(;O
40;more;O
40;details;O
40;below);O
41;Time;O
41;and;O
41;place;O
41;of;O
41;meeting;O
41;:;O
41;🚩;O
41;March;TIME
41;14;TIME
41;Mon;TIME
41;upstairs,;LOC
41;near;LOC
41;the;LOC
41;metro;LOC
41;station;LOC
41;Savelovskaya.;LOC
42;Sat;TIME
42;14;TIME
42;May;TIME
42;15.30;TIME
42;Let’s;O
42;extend;O
42;the;O
42;spring;O
42;fairy;O
42;tale;O
42;#ИМЯ?;O
42;an;O
42;excursion;O
42;in;O
42;Old;LOC
42;Kolomenskoye,;LOC
42;I;O
42;invite;O
42;you;O
42;possible;O
42;to-;O
42;nearby;O
42;🌟;O
42;Wooden;O
42;Palace;O
42;of;O
42;Tsar;O
42;Alexei;O
42;Mikhailovich.;O
43;I'll;O
43;Meet;O
43;You;O
43;At;O
43;Midnight.;TIME
44;Bhakti;O
44;Fest;O
44;is;O
44;a;O
44;yoga,;O
44;dance,;O
44;and;O
44;sacred;O
44;music;O
44;festival;O
44;that;O
44;has;O
44;been;O
44;held;O
44;annually;O
44;in;O
44;Joshua;LOC
44;Tree,;LOC
44;California;LOC
44;since;TIME
44;2009.;TIME
45;Protests;O
45;took;O
45;place;O
45;in;O
45;Portugal;LOC
45;last;TIME
45;weekend;TIME
45;in;O
45;Lisbon;LOC
45;and;LOC
45;Porto;LOC
45;with;O
45;those;O
45;in;O
45;attendance;O
45;demonstrating;O
45;against;O
45;lockdown;O
45;measures,;O
45;mandatory;O
45;mask;O
45;wearing;O
45;and;O
45;digital;O
45;vaccine;O
45;certificates.;O
46;Consultations;O
46;will;O
46;be;O
46;held;O
46;on;O
46;Saturday,;TIME
46;November;TIME
46;13;TIME
46;from;TIME
46;10:00;TIME
46;to;TIME
46;20:00;TIME
46;Moscow;TIME
46;time,;TIME
46;the;O
46;meetings;O
46;will;O
46;be;O
46;held;O
46;online;LOC
46;in;LOC
46;Zoom.;LOC
47;Our;O
47;final;O
47;2022;O
47;University-wide;O
47;Open;O
47;Day;O
47;will;O
47;be;O
47;on;O
47;Friday;TIME
47;16;TIME
47;September.;TIME
48;On;O
48;the;TIME
48;same;TIME
48;day;TIME
48;(18;TIME
48;July);TIME
48;a;O
48;“few;O
48;hundred”;O
48;people;O
48;also;O
48;gathered;O
48;in;O
48;Porto;LOC
48;in;O
48;a;O
48;protest;O
48;that;O
48;had;O
48;also;O
48;been;O
48;organised;O
48;by;O
48;the;O
48;same;O
48;movement.;O
49;Both;O
49;events;O
49;took;O
49;place;O
49;in;O
49;St.Petersburg;LOC
49;and;O
49;gathered;O
49;the;O
49;representatives;O
49;of;O
49;world-famous;O
49;companies;O
49;specializing;O
49;on;O
49;sea;O
49;oil;O
49;and;O
49;gas;O
49;extraction.;O
50;We,;O
50;the;O
50;representatives;O
50;of;O
50;85;O
50;countries,;O
50;having;O
50;gathered;O
50;here;O
50;today;TIME
50;in;O
50;Geneva;LOC
50;to;O
50;assess;O
50;the;O
50;progress;O
50;made;O
50;in.;O
50;implementing;O
50;and;O
50;to;O
50;reaffirm;O
50;our;O
50;support;O
50;and;O
50;commitment;O
50;to;O
50;the;O
50;goals;O
50;laid;O
50;down;O
50;in;O
50;the;O
50;Geneva;O
50;Declaration;O
50;on;O
50;Armed;O
50;Violence;O
50;and;O
50;Development.;O
51;HUNDREDS;O
51;gathered;O
51;in;O
51;a;LOC
51;Gwent;LOC
51;park;LOC
51;this;TIME
51;weekend,;TIME
51;for;O
51;a;O
51;day;O
51;of;O
51;family;O
51;fun;O
51;and;O
51;festivities.;O
52;Thousands;O
52;of;O
52;Windsor;O
52;Muslims;O
52;gathered;O
52;in;O
52;the;LOC
52;St.;LOC
52;Denis;LOC
52;Center;LOC
52;to;O
52;celebrate;O
52;Eid;O
52;Al-Adha;O
52;in;O
52;Windsor,;O
52;on;O
52;Saturday,;TIME
52;July;TIME
52;9;TIME
52;2022.;TIME
53;The;O
53;children's;O
53;club;O
53;meets;O
53;every;O
53;Thursday;TIME
53;afternoon.;TIME
54;Guess;O
54;who;O
54;I;O
54;met;O
54;in;O
54;town;LOC
54;today.;TIME
55;We;O
55;met;O
55;our;O
55;old;O
55;neighbours;O
55;at;O
55;an;O
55;auction;LOC
55;last;TIME
55;Saturday.;TIME
56;Will;O
56;you;O
56;meet;O
56;me;O
56;at;O
56;the;LOC
56;airport?;LOC
57;The;O
57;horizon;O
57;is;O
57;the;O
57;line;O
57;where;O
57;the;O
57;sky;O
57;meets;O
57;the;O
57;earth.;O
58;He;O
58;met;O
58;his;O
58;death;O
58;the;O
58;South;O
58;Atlantic.;O
59;The;O
59;doctor;O
59;unexpectedly;O
59;met;O
59;one;O
59;of;O
59;her;O
59;patients;O
59;in;O
59;the;LOC
59;supermarket.;LOC
60;I’d;O
60;like;O
60;you;O
60;to;O
60;meet;O
60;my;O
60;friend;O
60;Laura.;O
61;Senior;O
61;government;O
61;officials;O
61;attended;O
61;a;O
61;gathering;O
61;in;O
61;Dubai;LOC
61;in;O
61;September;TIME
61;to;O
61;meet;O
61;international;O
61;oil;O
61;executives.;O
62;Delegates;O
62;will;O
62;meet;O
62;at;O
62;the;LOC
62;Imperial;LOC
62;Hotel;LOC
62;next;TIME
62;Wednesday;TIME
62;at;TIME
62;10.30.;TIME
63;European;O
63;Union;O
63;leaders;O
63;are;O
63;meeting;O
63;in;O
63;Nice;LOC
63;to;O
63;decide;O
63;on;O
63;various;O
63;reforms.;O
64;Trust;O
64;directors;O
64;have;O
64;already;O
64;met;O
64;with;O
64;staff;O
64;to;O
64;review;O
64;records;O
64;and;O
64;discuss;O
64;future;O
64;performance;O
64;targets.;O
65;Certain;O
65;criteria;O
65;must;O
65;be;O
65;met;O
65;by;O
65;applicants;O
65;before;O
65;they;O
65;can;O
65;enrol;O
65;on;O
65;the;O
65;program.;O
66;I'm;O
66;going;O
66;to;O
66;meet;O
66;with;O
66;my;O
66;boss;O
66;tomorrow;TIME
66;morning.;TIME
67;The;O
67;firm's;O
67;expansion;O
67;abroad;O
67;has;O
67;met;O
67;with;O
67;a;O
67;mixed;O
67;response.;O
68;Sometimes;O
68;we;O
68;just;O
68;hang;O
68;in;O
68;the;LOC
68;park.;LOC
69;We're;O
69;having;O
69;a;O
69;meeting;O
69;on;O
69;Thursday;TIME
69;to;O
69;discuss;O
69;the;O
69;problem.;O
70;We;O
70;scheduled;O
70;the;O
70;meeting;O
70;for;O
70;Friday.;TIME
71;The;O
71;FSA;O
71;will;O
71;hold;O
71;a;O
71;meeting;O
71;to;O
71;discuss;O
71;possible;O
71;compensation;O
71;payouts;O
71;on;O
71;Monday.;TIME
72;Over;O
72;200;O
72;people;O
72;attended;O
72;the;O
72;meeting;O
72;at;O
72;the;O
72;company's;O
72;headquarters;O
72;in;O
72;San;LOC
72;Diego.;LOC
73;What;O
73;happened;O
73;as;O
73;a;O
73;result;O
73;of;O
73;having;O
73;this;O
73;town;O
73;meeting?;O
74;He;O
74;went;O
74;to;O
74;the;O
74;doctor;O
74;on;O
74;Wednesday;TIME
74;for;O
74;a;O
74;previously;O
74;scheduled;O
74;appointment.;O
75;3pm;TIME
75;is;O
75;the;O
75;scheduled;O
75;departure;O
75;time.;O
76;Once;TIME
76;a;TIME
76;year;TIME
76;we;O
76;all;O
76;come;O
76;together;O
76;and;O
76;celebrate;O
76;our;O
76;family.;O
